url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
https://www.justwatch.com/in/tv-show/mad-men,Mad Men (2007),2007,Drama,8.7,49min,U,United States,"Netflix , Lionsgate Play , Lionsgate Play Apple TV Channel , Lionsgate Play Amazon Channel",TV Show
https://www.justwatch.com/in/tv-show/mastram,Mastram (2020),2020,"Drama, Fantasy, Comedy",6.9,28min,U,India,,TV Show
https://www.justwatch.com/in/tv-show/presumed-innocent,Presumed Innocent (2024),2024,"Drama, Crime",7.7,43min,U,United States,"Apple TV Plus , Apple TV+",TV Show
https://www.justwatch.com/in/tv-show/paperhouse,Money Heist (2017),2017,"Crime, Drama, Mystery & Thriller, Action & Adventure, Made in Europe",8.2,50min,U,Spain,Netflix,TV Show
https://www.justwatch.com/in/tv-show/bigg-boss-ott,Bigg Boss OTT (2021),2021,Reality TV,1.9,1h 28min,A,India,Jio Cinema,TV Show
https://www.justwatch.com/in/tv-show/the-bear,The Bear (2022),2022,"Comedy, Drama",8.6,34min,A,United States,Hotstar,TV Show
https://www.justwatch.com/in/tv-show/farzi,Farzi (2023),2023,"Crime, Drama, Mystery & Thriller",8.4,56min,A,India,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/bigg-boss,Bigg Boss (2006),2006,"Kids & Family, Reality TV",3.6,1h 16min,A,India,Hotstar,TV Show
https://www.justwatch.com/in/tv-show/asur,Asur: Welcome to Your Dark Side (2020),2020,"Mystery & Thriller, Crime, Drama",8.5,47min,A,India,Jio Cinema,TV Show
https://www.justwatch.com/in/tv-show/a-good-girls-guide-to-murder,A Good Girl's Guide to Murder (2024),2024,"Drama, Mystery & Thriller, Crime",6.8,44min,A,"United Kingdom, Germany",Netflix,TV Show
https://www.justwatch.com/in/tv-show/gullak,Gullak (2019),2019,"Comedy, Drama, Kids & Family",9.1,30min,A,India,Sony Liv,TV Show
https://www.justwatch.com/in/tv-show/aashram,Aashram (2020),2020,"Drama, Crime, Mystery & Thriller",6.6,43min,A,India,MX Player,TV Show
https://www.justwatch.com/in/tv-show/unsolved-mysteries-2020,Unsolved Mysteries (2020),2020,"Documentary, Crime",7.3,45min,A,United States,Netflix,TV Show
https://www.justwatch.com/in/tv-show/breaking-bad,Breaking Bad (2008),2008,"Drama, Crime, Mystery & Thriller",9.5,47min,A,United States,Netflix,TV Show
https://www.justwatch.com/in/tv-show/the-family-man,The Family Man (2019),2019,"Action & Adventure, Comedy, Drama",8.7,45min,A,India,"Amazon Prime Video , Amazon Prime Video",TV Show
https://www.justwatch.com/in/tv-show/terror-tuesday-extreme,Terror Tuesday: Extreme (2024),2024,"Drama, Horror, Mystery & Thriller",5.9,43min,A,Thailand,Netflix,TV Show
https://www.justwatch.com/in/tv-show/stranger-things,Stranger Things (2016),2016,"Mystery & Thriller, Action & Adventure, Drama, Science-Fiction, Fantasy, Horror",8.7,1h 1min,A,United States,Netflix,TV Show
https://www.justwatch.com/in/tv-show/evil,Evil (2019),2019,"Crime, Drama, Mystery & Thriller, Horror",7.8,49min,A,United States,Jio Cinema,TV Show
